,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl),Daily Rate (bbl/day),Oil (Million BBL),Daily Oil Rate (Thousand BBL/DAY),Daily,Natural Gas from Gas Wells (Billion Cubic Feet)
49,49,49,49,48099,Coryell,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
50,50,50,50,48101,Cottle,1993,76437,274679,1473949,11928,209.4164384,0.076437,0.2094164383561644,0.2094164383561644,1.473949
51,51,51,51,48103,Crane,1993,16429127,118494858,16326752,56482,45011.30685,16.429126999999998,45.01130684931507,45.01130684931507,16.326752
52,52,52,52,48105,Crockett,1993,3613168,9116429,118462903,457476,9899.090411,3.613168,9.899090410958904,9.899090410958904,118.462903
53,53,53,53,48107,Crosby,1993,776640,113707,0,0,2127.780822,0.77664,2.127780821917808,2.127780821917808,0.0
54,54,54,54,48109,Culberson,1993,343206,382390,352775,120,940.290411,0.343206,0.940290410958904,0.940290410958904,0.352775
55,55,55,55,48111,Dallam,1993,0,0,22716,0,0.0,0.0,0.0,0.0,0.022716
56,56,56,56,48113,Dallas,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
57,57,57,57,48115,Dawson,1993,5939992,2775249,0,0,16273.950680000002,5.939992,16.273950684931506,16.273950684931506,0.0
58,58,58,58,48117,Deaf Smith,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
59,59,59,59,48119,Delta,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
60,60,60,60,48121,Denton,1993,13422,163,3436523,470,36.77260274,0.013422,0.036772602739726025,0.036772602739726025,3.436523
61,61,61,61,48123,DeWitt,1993,324603,771024,16373158,181429,889.3232877,0.32460300000000003,0.8893232876712329,0.8893232876712329,16.373158
62,62,62,62,48125,Dickens,1993,420860,77104,0,0,1153.0410960000004,0.42086,1.153041095890411,1.153041095890411,0.0
63,63,63,63,48127,Dimmit,1993,1691870,2487511,1320533,10224,4635.260274,1.69187,4.6352602739726025,4.6352602739726025,1.320533
64,64,64,64,48129,Donley,1993,0,0,31476,0,0.0,0.0,0.0,0.0,0.031476
65,65,65,65,48131,Duval,1993,2399700,3012607,84000031,705135,6574.520548,2.3997,6.574520547945205,6.574520547945205,84.000031
66,66,66,66,48133,Eastland,1993,688176,2113636,7240013,51368,1885.413699,0.688176,1.8854136986301369,1.8854136986301369,7.240013
67,67,67,67,48135,Ector,1993,31825327,29482384,65000990,6171,87192.67671,31.825327,87.19267671232876,87.19267671232876,65.00099
68,68,68,68,48137,Edwards,1993,1927,151,7386239,2717,5.279452055,0.001927,0.005279452054794521,0.005279452054794521,7.386239
69,69,69,69,48139,Ellis,1993,5660,109,0,0,15.50684932,0.00566,0.01550684931506849,0.01550684931506849,0.0
70,70,70,70,48141,El Paso ,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
71,71,71,71,48143,Erath,1993,7684,9106,3610857,4646,21.05205479,0.007684000000000002,0.021052054794520547,0.021052054794520547,3.610857
72,72,72,72,48145,Falls,1993,12131,289,23264,38,33.23561644,0.012131,0.033235616438356166,0.033235616438356166,0.023264
73,73,73,73,48147,Fannin,1993,0,0,0,0,0.0,0.0,0.0,0.0,0.0
74,74,74,74,48149,Fayette,1993,12597277,56805360,47094586,2595910,34513.08767,12.597277,34.513087671232874,34.513087671232874,47.094586
75,75,75,75,48151,Fisher,1993,1686373,2320597,273020,1453,4620.2,1.686373,4.6202,4.6202,0.27302
76,76,76,76,48153,Floyd,1993,3486,510,0,0,9.550684932000001,0.003486,0.00955068493150685,0.00955068493150685,0.0
77,77,77,77,48155,Foard,1993,295091,11498,271678,0,808.4684932,0.295091,0.8084684931506849,0.8084684931506849,0.271678
