,FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl),Daily Rate (bbl/day),Oil (Million BBL),Daily Oil Rate (Thousand BBL/DAY),Daily,Natural Gas from Gas Wells (Billion Cubic Feet)
216,48433,Stonewall,1996,2098453,704659,0,0,5749.186301,2.0984529999999997,5.749186301,5.749186301,0.0
217,48435,Sutton,1996,20272,27506,58678619,70798,55.53972603,0.020272,0.055539726,0.055539726,58.678619
218,48437,Swisher,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0
219,48439,Tarrant,1996,0,0,561156,48,0.0,0.0,0.0,0.0,0.561156
220,48441,Taylor,1996,886576,607282,68319,448,2428.975342,0.886576,2.4289753419999998,2.4289753419999998,0.068319
221,48443,Terrell,1996,28880,619723,76233880,701026,79.12328767,0.02888,0.079123288,0.079123288,76.23388
222,48445,Terry,1996,5018149,2256499,492693,0,13748.35342,5.018149,13.74835342,13.74835342,0.492693
223,48447,Throckmorton,1996,1651108,2133102,415369,3565,4523.583562,1.6511080000000002,4.523583562,4.523583562,0.415369
224,48449,Titus,1996,592464,5446,635454,15391,1623.189041,0.592464,1.6231890409999998,1.6231890409999998,0.635454
225,48451,Tom Green,1996,656059,3949971,838037,6383,1797.421918,0.6560590000000001,1.7974219180000002,1.7974219180000002,0.838037
226,48453,Travis,1996,7328,12,0,0,20.07671233,0.007328,0.020076712,0.020076712,0.0
227,48455,Trinity,1996,24364,355378,169086,5150,66.75068493,0.024364,0.066750685,0.066750685,0.169086
228,48457,Tyler,1996,361185,630651,2152073,37766,989.5479452,0.361185,0.989547945,0.989547945,2.152073
229,48459,Upshur,1996,184290,36124,61856442,610629,504.90410959999997,0.18429,0.50490411,0.50490411,61.856442
230,48461,Upton,1996,9950565,30084403,27572735,335716,27261.82192,9.950565,27.26182192,27.26182192,27.572735
231,48463,Uvalde,1996,0,0,14915,0,0.0,0.0,0.0,0.0,0.014915
232,48465,Val Verde,1996,590,0,17008587,1488,1.616438356,0.00059,0.001616438,0.001616438,17.008587
233,48467,Van Zandt,1996,2578397,3480426,10142867,26374,7064.10137,2.5783970000000003,7.06410137,7.06410137,10.142867
234,48469,Victoria,1996,871848,850802,16825418,85212,2388.6246579999997,0.871848,2.388624658,2.388624658,16.825418
235,48471,Walker,1996,4911,24404,982042,12857,13.45479452,0.004911,0.013454795,0.013454795,0.982042
236,48473,Waller,1996,169740,9109,9284727,1160,465.04109589999996,0.16974,0.46504109600000004,0.46504109600000004,9.284727
237,48475,Ward,1996,7510533,16995381,41008171,116734,20576.80274,7.510533000000001,20.57680274,20.57680274,41.008171
238,48477,Washington,1996,440352,2801730,76802908,148651,1206.443836,0.440352,1.206443836,1.206443836,76.802908
239,48479,Webb,1996,271505,262080,340144094,2473644,743.8493151,0.271505,0.743849315,0.743849315,340.144094
240,48481,Wharton,1996,1573501,1472844,52718758,981404,4310.961644,1.573501,4.310961644,4.310961644,52.718758
241,48483,Wheeler,1996,491977,1080014,45573075,265961,1347.882192,0.49197700000000005,1.347882192,1.347882192,45.573075
242,48485,Wichita,1996,2931092,223494,0,0,8030.389040999999,2.931092,8.030389041,8.030389041,0.0
243,48487,Wilbarger,1996,860498,69632,6885,0,2357.5287670000002,0.860498,2.357528767,2.357528767,0.006885
244,48489,Willacy,1996,665989,599719,47214342,24893,1824.627397,0.665989,1.824627397,1.824627397,47.214342
245,48491,Williamson,1996,10959,78,25777,0,30.02465753,0.010959,0.030024658,0.030024658,0.025777
246,48493,Wilson,1996,570315,91967,56755,758,1562.506849,0.570315,1.562506849,1.562506849,0.056755
247,48495,Winkler,1996,4956279,15301686,36221882,83671,13578.846580000001,4.956279,13.57884658,13.57884658,36.221882
248,48497,Wise,1996,589915,7713679,65425722,155013,1616.205479,0.589915,1.616205479,1.616205479,65.425722
249,48499,Wood,1996,6337079,2960062,12641426,42889,17361.860269999997,6.337079,17.36186027,17.36186027,12.641426
250,48501,Yoakum,1996,29302915,75426611,0,0,80281.9589,29.302915000000002,80.2819589,80.2819589,0.0
251,48503,Young,1996,1862945,2478352,2083761,22989,5103.958904,1.862945,5.103958904,5.103958904,2.083761
252,48505,Zapata,1996,51836,66684,324967399,313428,142.0164384,0.051836,0.142016438,0.142016438,324.967399
253,48507,Zavala,1996,384632,384320,3256624,4933,1053.7863009999999,0.38463200000000003,1.053786301,1.053786301,3.256624
