FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl),Daily Rate (bbl/day),Oil (Million BBL),Daily Oil Rate (Thousand BBL/DAY),Growth Rate (%),Daily,Counties Over 1000 BBL since 2010,Counties Over 1000 BBL,Cumulative Oil (bbl),Natural Gas from Gas Wells (Billion Cubic Feet)
48263,Kent,2012,4134134,6938831,0,0,11326.39452,4.134134,11.32639452,0,11.32639452,0,0,67046521,0
48265,Kerr,2012,0,0,0,0,0,0,0,0,0,0,0,1791,0
48267,Kimble,2012,288,0,48560,0,0.789041096,0.000288,0.000789041,0,0.000789041,0,0,5409,0.04856
48269,King,2012,1373920,99593,438166,2745,3764.164384,1.37392,3.764164384,0,3.764164384,0,0,27573861,0.438166
48271,Kinney,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48273,Kleberg,2012,364724,1233575,17850245,195229,999.2438356,0.364724,0.999243836,0,0.999243836,0,0,1888518,17.850245
48275,Knox,2012,202623,10372,0,0,555.1315068,0.202623,0.555131507,0,0.555131507,0,0,3253868,0
48277,La Salle,2012,22016720,39919593,93707921,3327543,60319.78082,22.01672,60.31978082,0,60.31978082,0,0,51879801,93.707921
48279,Lamar,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48281,Lamb,2012,386744,270227,0,0,1059.572603,0.386744,1.059572603,0,1.059572603,0,0,9750967,0
48283,Lampasas,2012,0,0,42115,0,0,0,0,0,0,0,0,0,0.042115
48285,Lavaca,2012,1727319,1586276,28389056,316315,4732.380822,1.727319,4.732380822,0,4.732380822,0,0,5487276,28.389056
48287,Lee,2012,1212915,6845836,1340640,24703,3323.054795,1.212915,3.323054795,0,3.323054795,0,0,18862982,1.34064
48289,Leon,2012,1822138,1628528,85731966,72999,4992.158904,1.822138,4.992158904,0,4.992158904,0,0,12831300,85.731966
48291,Liberty,2012,1220844,1023780,24972701,803101,3344.778082,1.220844,3.344778082,0,3.344778082,0,0,19861031,24.972701
48293,Limestone,2012,84918,1812,76021105,56045,232.6520548,0.084918,0.232652055,0,0.232652055,0,0,1239903,76.021105
48295,Lipscomb,2012,3145820,23499922,57222103,2241077,8618.684932,3.14582,8.618684932,0,8.618684932,0,0,15760986,57.222103
48297,Live Oak,2012,6357192,14273135,58420908,4337949,17416.96438,6.357192,17.41696438,0,17.41696438,0,0,20982210,58.420908
48299,Llano,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48301,Loving,2012,4561773,12716114,43998109,788963,12498.00822,4.561773,12.49800822,0,12.49800822,0,0,23685211,43.998109
48303,Lubbock,2012,1433530,85288,0,0,3927.479452,1.43353,3.927479452,0,3.927479452,0,0,20155903,0
