FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl)
48365,Panola,1993.00,449068.00,2608330.00,244325089.00,1404036.00
48367,Parker,1993.00,10245.00,76730.00,10374527.00,13062.00
48369,Parmer,9999.00,9999.00,9999.00,9999.00,9999.00
48371,Pecos,1993.00,20717384.00,69592165.00,240698325.00,558159.00
48373,Polk,1993.00,731102.00,504645.00,11132743.00,347121.00
48375,Potter,1993.00,299445.00,869380.00,34656723.00,231.00
48377,Presidio,9999.00,9999.00,9999.00,9999.00,9999.00
48379,Rains,1993.00,0.00,0.00,12071745.00,25.00
48381,Randall,9999.00,9999.00,9999.00,9999.00,9999.00
48383,Reagan,1993.00,5467816.00,29058663.00,1252248.00,31556.00
48385,Real,1993.00,0.00,0.00,0.00,0.00
48387,Red River,1993.00,241205.00,22346.00,0.00,0.00
48389,Reeves,1993.00,1242295.00,2652536.00,31873355.00,51511.00
48391,Refugio,1993.00,6800782.00,24911517.00,22350066.00,46357.00
48393,Roberts,1993.00,356851.00,4133736.00,20410525.00,120789.00
48395,Robertson,1993.00,223682.00,129225.00,8892385.00,465.00
48397,Rockwall,1993.00,0.00,0.00,0.00,0.00
48399,Runnels,1993.00,961576.00,1951111.00,554624.00,725.00
48401,Rusk,1993.00,5549620.00,3307523.00,68582011.00,389318.00
48403,Sabine,1993.00,757991.00,3377636.00,5413.00,0.00
48405,San Augustine,1993.00,207741.00,279729.00,11396.00,0.00
48407,San Jacinto,1993.00,61733.00,239419.00,6142293.00,225151.00
48409,San Patricio,1993.00,1081809.00,3659361.00,15588334.00,230400.00
48411,San Saba,1993.00,0.00,0.00,0.00,0.00
48413,Schleicher,1993.00,612996.00,2143808.00,16061182.00,80360.00
48415,Scurry,1993.00,10064113.00,34873441.00,0.00,0.00
48417,Shackelford,1993.00,1450505.00,2109089.00,2647930.00,6207.00
48419,Shelby,1993.00,49327.00,115615.00,8252133.00,28493.00
48421,Sherman,1993.00,398232.00,438856.00,36506311.00,34001.00
48423,Smith,1993.00,2197507.00,5373182.00,14118227.00,214275.00
